label,delta_mse_pct_minus_global,delta_rmse_pct_minus_global,delta_psnr_pct_minus_global,delta_ssim_pct_minus_global
Baseline encoder-decoder,0.0010765914604636776,0.01593011369170631,-9.66082497230191,-0.12715479622318226
U-Net,0.0012076749700137882,0.02045611518322513,-11.377294952570626,-0.49271238266258277
